Title,Description,Category,PriorityScore
Ambulance delay reported at hospital,ambulance delay at hospital moderate risk,Healthcare,0.628
Trash heap reported near office area,trash heap near office area affecting daily activities,Waste & Sanitation,0.54
Trash heap reported at bus stop,trash heap at bus stop creating delays,Waste & Sanitation,0.561
Smoke reported at bus stop,smoke at bus stop affecting daily activities,Environment,0.537
Vehicle jam reported in residential area,vehicle jam in residential area moderate risk,Traffic & Transport,0.49
Sewage overflow reported in public park,sewage overflow in public park should be repaired,Water & Drainage,0.583
Water leakage reported at bus stop,water leakage at bus stop affecting daily activities,Water & Drainage,0.462
Water leakage reported on main road,water leakage on main road causing inconvenience,Water & Drainage,0.604
Public toilet reported in residential area,public toilet in residential area causing inconvenience,Civic Services,0.581
Accident reported on main road,accident on main road affecting daily activities,Traffic & Transport,0.485
Burning waste reported on main road,burning waste on main road needs attention soon,Environment,0.552
Dark street reported at hospital,dark street at hospital needs attention soon,Street Lighting,0.668
Hospital equipment reported near office area,hospital equipment near office area creating delays,Healthcare,0.646
Lighting system reported in public park,lighting system in public park moderate risk,Street Lighting,0.686
Lamp post reported near school,lamp post near school needs attention soon,Street Lighting,0.601
Pothole reported at hospital,pothole at hospital affecting daily activities,Roads & Infra,0.654
Dark street reported at hospital,dark street at hospital moderate risk,Street Lighting,0.588
Explosion risk reported on main road,explosion risk on main road needs attention soon,Public Safety,0.583
Lamp post reported near school,lamp post near school affecting daily activities,Street Lighting,0.664
Collision reported near school,collision near school should be repaired,Traffic & Transport,0.576
Trash heap reported on main road,trash heap on main road needs attention soon,Waste & Sanitation,0.462
Lamp post reported at junction,lamp post at junction should be repaired,Street Lighting,0.659
Medical waste reported on highway,medical waste on highway needs attention soon,Healthcare,0.564
Road crack reported on main road,road crack on main road creating delays,Roads & Infra,0.602
Garbage pile reported at bus stop,garbage pile at bus stop needs attention soon,Waste & Sanitation,0.45
Bus stop reported on highway,bus stop on highway creating delays,Public Spaces,0.639
Facility damage reported at bus stop,facility damage at bus stop should be repaired,Civic Services,0.567
Street sign reported near office area,street sign near office area should be repaired,Civic Services,0.63
Burning waste reported in public park,burning waste in public park moderate risk,Environment,0.492
Playground equipment reported near school,playground equipment near school needs attention soon,Public Spaces,0.468
Building collapse reported in residential area,building collapse in residential area causing inconvenience,Public Safety,0.601
Dust reported at bus stop,dust at bus stop affecting daily activities,Environment,0.543
Fire reported at junction,fire at junction causing inconvenience,Public Safety,0.504
Flickering light reported near office area,flickering light near office area creating delays,Street Lighting,0.485
Accident reported at junction,accident at junction needs attention soon,Traffic & Transport,0.454
Waterlogging reported in residential area,waterlogging in residential area moderate risk,Water & Drainage,0.55
Footpath reported at junction,footpath at junction moderate risk,Public Spaces,0.483
Overflowing bin reported on main road,overflowing bin on main road creating delays,Waste & Sanitation,0.681
Vehicle jam reported near school,vehicle jam near school affecting daily activities,Traffic & Transport,0.566
Dust reported at hospital,dust at hospital should be repaired,Environment,0.523
Facility damage reported on highway,facility damage on highway causing inconvenience,Civic Services,0.683
Park bench reported near market,park bench near market affecting daily activities,Public Spaces,0.498
Signboard reported near school,signboard near school causing inconvenience,Civic Services,0.486
Street sign reported near school,street sign near school causing inconvenience,Civic Services,0.577
Street sign reported near school,street sign near school moderate risk,Civic Services,0.551
Clinic issue reported near market,clinic issue near market should be repaired,Healthcare,0.532
Electric wire reported in public park,electric wire in public park should be repaired,Public Safety,0.481
Public park reported at bus stop,public park at bus stop should be repaired,Public Spaces,0.459
Facility damage reported in public park,facility damage in public park causing inconvenience,Civic Services,0.7
Flickering light reported near market,flickering light near market creating delays,Street Lighting,0.629
Blocked road reported on main road,blocked road on main road needs attention soon,Traffic & Transport,0.473
Burning waste reported at bus stop,burning waste at bus stop needs attention soon,Environment,0.46
Traffic congestion reported on main road,traffic congestion on main road needs attention soon,Traffic & Transport,0.555
Waterlogging reported on main road,waterlogging on main road moderate risk,Water & Drainage,0.587
Blocked road reported near school,blocked road near school causing inconvenience,Traffic & Transport,0.491
Waste accumulation reported on highway,waste accumulation on highway causing inconvenience,Waste & Sanitation,0.505
